"В ноябре наверно скажут на дне открытых дверей.Менеджмент 3,5, Здраствуйте есть еще вопросы к Вам:1.А тестирование для всех проводится или только для школьником это платно или бесплатно 2.Можно ссылочку где я специальности и какие сдавать предметы и баллы нужны","Добрый день. 1. Какое именно тестирование? Если профориентационное, то оно изначально предназначено для школьников, но общие тенденции у взрослых тоже показать может. Тестирование проводится бесплатно и дистанционно. 2. Вступительные испытания и минимальные баллы по каждому направлению подготовки можно посмотреть здесь https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/vstupitel-nyie-ispyitaniya-i-minimal-nyie-ballyi-p-3.html"
"Спасибо.И можно еще ссылочку на примерные тесты скинуть, Тестирование можно где пройти чисто для интереса хоть примерно направление покажет","Примерные варианты тестов будут опубликованы на официальном сайте ВятГУ после нового года. Для прохождения профориентационного тестирования Вам необходимо отправить заявку на электронную почту prcom@vyatsu.ru с указанием ФИО своей электронной почты и возраста."
"Здраствуйте высылал и ответа не было по профориентационному тестированию","Проверьте, пожалуйста, папку спам. Возможно сообщение ушло туда."
"Я увидел сейчас во входящих от Марины Шарафутдиновой ссылка, А там надо класс писать.А я же хотел чисто для себя и тем более мне 33","Указываете вариант закончил школу более 5 лет назад"
"А кто платно сдают тестирование поступает все сдают и зачисляются","Тестирование все сдают бесплатно и это никак на поступление не влияет"
"Я тесты тренировочные прохожу на сайте бывает знать бы именно какие вопросы будут по биологии,русскому,обществознанию и математике.Я просто выбрал примерно 3-4 направления, Здраствуйте.А появились уже примерные тесты на 2020 тестирование по биологии,русскому языку и обществознанию.Можете выслать если появились","Добрый день. Примерные тесты появятся на сайте примерно к 1 марта"
"Здравствуйте. А примерные тесты появились по русскому, биологии, обществознанию и математике","Добрый день. Да, примерные тесты опубликованы здесь https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/programmyi-vstupitel-nyih-ispyitaniy-po-obscheobra-4.html"
"Здравствуйте сколько заочно обучение по Торговому делу, Психолого-Педагогическое, Биотехнология и Экономическая безопасность и управление рисками, И Управление персоналом","Добрый день. Стоимость обучения будет утверждена и опубликована к 20 июня."
"Доброе утро. Спасибо. А по срокам обучения данных направлений уточнить хотел","Сроки обучения на заочной форме: полный срок - 4 года 8 месяцев, ускоренный - 3 года 3 месяца."
"Это получается по всем вышеописанным направлениям. А на  ускоренный как и на полный можно подавать. Также с 20 июня документы подавать все","Предварительно планируется набор на полный срок по направлению 'Психолого-педагогическое образование',  на ускоренное обучение по направлениям 'Торговое дело', 'Биотехнология', 'Экономика. Экономическая безопасность и управление рисками'. На все направления можно подавать документы с 20 июня."
"А можно вопрос. На какие больше специальности идут заочно учится после 30 лет","Добрый день! Всё зависит исключительно от желания абитуриентов. Можете ознакомиться с итогами приема прошлого года https://www.vyatsu.ru/uploads/file/1909/itogi2019zo_(2).pdf"
"Доброе утро😊🌷🌷🌷, Все равно сомнения есть какое высшее получить после образования колледж товаровед, А вот вы скинули открываю а страница не найдена пишет слева в углу","Ссылка активна, попробуйте ещё раз"
"Даже с вайфая дома все равно страница не найдена","У нас данная ссылка открывается, попробуйте, пожалуйста, воспользоваться другим браузером."
"Здравствуйте получается мне можно после 30 и на бюджет поступать баллы же эти самые надо набирать и разницы не вижу. Подумал можно и бесплатно, Очно","Добрый день. Да, Вы можете поступать на любую форму обучения."
"Пообщался с парнем с политеха он посоветовал, И там эти баллы будут по 40 набрать надо и если сдашь то бесплатно можно учится, На биотехнологию, менеджмент, экономика и химию и экологию","Если Вы сдадите тесты на минимальные баллы, указанные на сайте, Вы можете поступить платно. Однако на бюджетные места всегда есть конкурс и, соответственно, чем выше набранные Вами баллы, тем больше шансов пройти на бюджет."
"Ага то есть изначально можно тесты сдавать на бюджет мне пробовать, Очнг","Да, конечно, можно"
"Мне 34 образование колледж товаровед","При поступлении не важно, сколько Вам лет."
"С 20 июня подача по 20 августа, Это да главное желание, А отличие очников от заочников есть периоды обучения, То есть у заочников раз в полгода сессия","Это ориентировочные сроки для подачи заявления на заочную форму. На очной форме для бюджетных мест сроки более сжатые - изначально стоял срок с 20 июня до 11 июля. Однако сейчас он может немного сдвинуться из-за карантина, так что следите за информацией на сайте и в группе. На очной форме студенты учатся почти каждый день, на заочной форме - обучение по сессиям (2-3 раза в год)"
"А каждый день если работать то как учится подстраиваться надо","Поэтому те, кто работает, обычно выбирают заочную форму обучения. Очную форму довольно сложно сочетать с ежедневной работой."
"Тут вообщем надо пробовать на очно поступать и там думать","В принципе, да."
"А егэ и тесты задания те же что на заочно, Что на очно вы мне присылали","Да"
"Добрый день. А управление персоналом, пед образование история и экономика предприятий сколько срок обучения заочно. Какие документы при поступлении фото 3×4 3 штуки и ксерокопии диплома о среднем профессиональном и паспорт","Добрый день! планируете поступать на заочную форму?"
"Да все таки лучше так наверно сложно каждый день учится работать ведь надо будет поди, Очно ведь там везде по 5 лет стандартно","очный бакалавриат 4 года"
"Мда специальностей очень много, Очный на все 4 года, А если учится студент у примеру ему можно и другое направление получать одновременно","по заочной форме срок обучения на указанных Вами направлениях будет составлять 4 года 8 месяцев., на очной форме есть направления подготовки, на которых срок обучения 4 года или 5 лет. В зависимости от направления, https://www.vyatsu.ru/abiturientu/poisk-obrazovatel-noy-programmyi, Вы можете пройти по этой ссылке, выбрать нужную форму обучения и посмотреть все направления. Так же можете увидеть и срок обучения по всем направлениям подготовки, Да, такое тоже возможно. Но, если выбранные направления подготовки будут одной формы обучения (например, оба заочной),то сессии могут совпадать."
"А от направления на заочно и стоимость в год может отличаться. Слышал что на экономической безопасности вроде 55 в год., Не представляю я как очно учится каждый день это тогда не работать совсем","между собой цены на разных направлениях могут отличаться. Точный приказ о стоимости на учебный 2020/2021 г выложим к 20 июню."
"А оплата как если к примеру сдал тесты и минимально на заочно получилось то оплата когда сразу за полгода или частями там по 5000 раз в месяц","в прошлом году была возможность либо платить пополам, либо оформить рассрочку."
"Рассрочка это если сложное положение у студента случилось и не может оплачивать в полной мере учёбу","Вы и с рассрочкой будете в полной мере оплачивать учебу, просто оплата вносится частями."
"Ну вот пример например поступаю на биотехнологию там 3.3 учится и одновременно когда можно другое направление менеджмент и платить то за одно или как 2 система непростая","конечно, поступаете на 2 направления и платите за 2 направления."
"Тогда лучше одно для начала, Слишком дорого выйдет","отличное решение."
"Я кстати по примерным  тестам больше готовлюсь которые вы мне выложили. Кроме биологии там одновременно ещё по егэ, Через интернет все","отлично! Ждем Вас летом."
"Попробую поступить хоть платно надеюсь получится, ","Спасибо! Вас тоже с праздником!"
"Здраствуйте. А вот вопрос 1.Бюджет заочно можно и бесплатно поступить и там выше баллы нужны.2.И расскажите про физическую что там за вступительные испытание помимо биологии и русского языка","Добрый день.  1. В 2020 году на заочной форме только платные места 2. Для поступления на специальности, связанные с физической культурой, ранее нужно было сдавать спортивные нормативы (бег, прыжки и т.д.). Но в этом году программы вступительных испытаний редактируются под дистанционный формат. Информация по обновлённым программам будет опубликована позднее на сайте и в нашей группе."
"То есть тестирование нужно будет дистанционно сдавать из дома а не в университете","Да"
"А сроки то сдачи когда. Документы все равно надо к вам везти","Приём документов тоже будет только в дистанционной форме https://www.vyatsu.ru/internet-gazeta/instruktsiya-po-primeneniyu-ili-kak-postupit-v-vya.html Сроки вступительных испытаний будут опубликованы на сайте 1 июня."
"Что то я не совсем представляю образно как сдавать дистанционно и документы передавать, А если нет компа сижу со смартфона и там ещё распечатывать надо. Проще приехать и отдать документы","К сожалению, из-за эпидемиологической ситуации согласно приказу Министерства науки и высшего образования, приём будет организован только в дистанционной форме."
"А как со смартфона можно","К сожалению, никак. Так как будет необходимо распечатать заявление, подписать его и отправить нам."
"А что нужно то компьютер и принтер","Да"
"Компьютер то ладно. А принтер наверно не у всех он есть","К сожалению, да"
"Я даже и незнаю как теперь поступить в этой ситуации, ","С Днём Победы!"
"Здраствуйте какие изменения так и дистанционно в этом году.А можно скан документов делать через электронную и к примеру сдавать тестирование через смартфон видео же также видно.","Добрый день! Приём документов будет осуществляться только дистанционно.  Сканы всех документов Вы будете прикреплять в личном кабинете при заполнении заявления. Программы вступительных испытаний с описанием их проведения будут опубликованы на официальном сайте ВятГУ позднее."
"То есть сканы в личном кабинете их сфоткать надо будет и отправить","Да, но на фото должно быть всё хорошо видно."
"Как то бы точно знать последовательность действий если не отправлял не разу, То есть сканы можно со смартфона отправить. Принтер не нужен., А дистанционно со смартфона так же ведь тоже можно тестирование сдавать","Принтер нужен распечатывать заявление., По поводу тестирования - придётся подождать программы вступительных испытаний."
"Хорошо, Здраствуйте если в этом году не получится у меня дистанционно. Надеюсь в следующем году можно будет уже приехать и лично документы в приёмную отдать.Я буду писать","Да, конечно."
"Расстроился я что в этом году дистанционное и не готов был к нему, А тесты тоже меняться будут задания","Да"
"Буду писать, Сегодня же ещё день открытых дверей на факультете по видео, Здраствуйте на страницу захожу абитуриента личный кабинет где там найти","Добрый день! будет активен с 20 июня (с начала приема)"
"Добрый день, скажите пожалуйста,нужно ли мне будет писать вступительные испытания по русскому языку,если мне для поступления нужно результаты ЕГЭ,а ЕГЭ по русскому языку отменили?, И в какой форме проводится вступительное испытание по русскому языку в случае необходимости его написания?поступаю на очную форму","Добрый день! Выпускникам школ для поступления в вуз нужны результаты ЕГЭ, в том числе и по русскому языку. Тестирование по общеобразовательным предметам в вузе могут сдавать только лица с профессиональным образованием (окончившие колледж или техникум или вуз), лица с инвалидностью, иностранные граждане."
"Как я могу предоставить результаты ЕГЭ по русскому,если ЕГЭ по русскому языку отменили?","Пока официального приказа об отмене ЕГЭ по русскому языку не было. Однако если это произойдёт, то, вероятнее всего, в вузе сдавать вступительный экзамен по русскому не придётся - возможно, приём будет проводиться по двум другим ЕГЭ."
"А если на мою на специальность итак  нужно будет только два предмета ЕГЭ,включая русский язык?","Возможно, в таком случае будет учитываться один ЕГЭ и то профессиональное или творческое вступительное испытание, которое Вам нужно будет сдать в вузе. Однако официально такое распоряжение не вышло, поэтому пока готовьтесь к ЕГЭ по русскому тоже)"
"А где на сайте я смогу увидеть такое распоряжение ?и в каких числах?","Если такая информация поступит, то она появится в новостях на главной странице сайта или в разделе 'Абитуриенту', а также в нашей группе. По срокам сориентировать не можем, так как решение принимается Министерством."
"Я правильно поняла,что если я поступаю на очную форму обучения,то я могу подать документы на поступление дистанционно?, И сколько нужно фото 3*4 для поступления?","Вы правильно поняли, приём документов будет осуществляться только в дистанционном формате https://www.vyatsu.ru/internet-gazeta/instruktsiya-po-primeneniyu-ili-kak-postupit-v-vya.html"
"?, 4 фото нужно ведь?, ?","Да, всё верно, 4 фото."
"А когда нужно будет отдать оригиналы документов?уже известны сроки?","К сожалению, сроки подачи документов не известны., Как только расписание ЕГЭ будет утверждено, на официальном сайте ВятГУ будут опубликованы сроки подачи документов."
"А копию аттестата ведь не нужно заверять?просто ксерокопия?","Да, всё верно. Понадобиться только скан-копия аттестата."
"Добрый день,скажите пожалуйста,на какие специальности нужно будет покупать форму и в каких пределах она стоит?","Добрый день! что вы имеете ввиду под формой?"
"Учебная форма для университета","у нас нет формы, деловой стиль одежды."
"Добрый день,скажите пожалуйста нужно ли мне для подачи документов на поступление иметь электронную подпись или я могу заполнить заявление в бумажном виде и отправить вам скан заявления?, если я подаю документы через электронную почту","Добрый день! Подача документов будет происходить через наш сервис в разделе Абитуриенту на оф. сайте. Электронная подпись не пригодится"
"а прохождение вступительных испытаний будет в вузе или я смогу пройти их дистанционно?","дистанционно."
"а каким образом это будет проходить?, если вступительное испытание-тест","какой именно тест?"
"по специальности таможенное дело","Вы будете сдавать его онлайн при включенной вебкамере, https://www.vyatsu.ru/uploads/file/2005/38.02.05_tamozhennoe_delo_progr_vstup_2020.pdf, вот здесь полностью весь порядок сдачи опубликован"
"добрый день,скажите пожалуйста могу ли я сдать вступительные испытания с телефона через какие-то программы или сайты?, именно через камеру телефона","Добрый день! в требованиях указано, что запрещается пользоваться телефоном во время сдачи экзамена., Для прохождения вступительного испытания поступающему необходимо иметь в личном пользовании информационно-технические средства: персональный или портативный компьютер с доступом к телекоммуникационным каналам передачи данных в сетях общего пользования (Интернет);мультимедиа периферийные устройства для прослушивания и воспроизведения аудио и видеоинформации (микрофон, веб-камера, наушники или аудиосистема); браузер, совместимый с Google Chrome (Chrome, Opera, Microsoft Edge, Яндекс.Браузер)"
"не пользоваться,а именно сдавать с камерой телефона, у меня нет веб-камеры на компьютере","к сожалению, не предусмотрена сдача с камерой телефона"
"а там нужно будет давать полный ответ на вопрос или будут варианты ответов?","будут варианты ответов"
"а в каких числах проводятся вступительные испытания?","расписание будет выложено в ближайшее время на сайте"
"А какая бумага должна быть на фото 3*4?","желательно матовая"
"Здравствуйте. Мы являемся вашим абитуриентом . Хотим поступать в ваш ВУЗ.  Конечно сейчас неизвестно,что и как,но хотелось бы узнать; Когда будет день открытых дверей? Будут ли продлены сроки сдачи документов. Нужно ли регистрироваться на сайте ВятГУ (логин/пароль) где взять? Планируем поступление на строительство, либо биоэнженер.","Добрый день! День открытых дверей состоится в мае, конкретную дату и время мы пока, к сожалению, не знаем, но как только всё будет известно мы опубликуем новость в нашей группе. По поводу изменения сроков подачи документов информации также на данный момент нет. Регистрироваться на сайте заранее не нужно. Для подачи документов на направление подготовки 'Строительство' необходимы будут результаты ЕГЭ по русскому языку, математике (профильный уровень) и физике, для 'Биотехнологии' - математика (профильный уровень), биология и русский язык."
"Мы сдаём русский,математика(профиль),физика, биология Хотелось бы на технические профессии, инженер. Не все пока ясно. Будем следить за новостями","С Вашим набором ЕГЭ есть большие шансы пройти на бюджетное место. Когда приём откроется, Вы сможете подать документы на сайте ВятГУ в электронном виде. Вся актуальная информация будет появляться на сайте и в нашей группе."
"На бюджет и хотели), Здравствуйте.  скажите пожалуйста ,мы хотим помимо факультета биоэнженерии ,подать на строительство","Добрый день! это отлично."
"А как понять когда на факультет строительство день открытых дверей онлайн","пока дата утверждается. Мы обязательно опубликуем."
"Скажите пожалуйста,про проходные баллы,","в прошлом году проходным считался 161 балл. Какая ситуация будет в этом году, мы пока не знаем"
"Добрый вечер! Не могли бы Вы объяснить по поводу вступительных испытаний по специальности АФК бакалавриат. В документе о вступительных испытаний от 14.05.2020 прописано по мимо первой части ещё вторая и третья. Интересует : готовится только к вопросам из части III ? Для чего нужна часть II?","Добрый день! Вы имеете ввиду перечень вопросов к экзамену и разделы по ним?"
"Да. Нужно готовиться конкретно к вопросам из раздела III ?","судя по программе, да."
"А на раздел II внимания не обращать при подготовке к экзамену?","все, что указано в программе, будет отражено в тесте."
"Здравствуйте,  скажите пожалуйста какие есть программы переподготовки на 2020-2021 уч.год или второе высшее?","Добрый день! Направления подготовки Вы можете посмотреть здесь - https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/kolichestvo-mest-dlya-priema-na-2020-21-uchebnyiy.html, По поводу программ переподготовки позвоните, пожалуйста, по тел. (8332) 74-28-62"
"А как поступают на второе высшее ?","Вы имеете ввиду бакалавриат или магистратуру?"
"Бакалавриат","Поступление по результатам тестирования (будет сдаваться дистанционно)."
"А можно еще пожалуйста  ссылку на стоимость обучения ?","Стоимость будет опубликована к 20 июня."
"Хорошо , спасибо за информацию","обращайтесь!"
"Здравствуйте, Можно ли узнать , сколько экзаменов сдавать и будут ли повышены бесплатные места, Бюджет смысле","Добрый день! количество предметов ЕГЭ не изменено. Про повышение количества мест пока нет информации."
"Так а на какие факультеты я могу поступить с обществознанием, русским и профильной математикой, Которые в этом году набираются","https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/vstupitel-nyie-ispyitaniya-i-minimal-nyie-ballyi-p-3.html, практически все экономические направления"
"А на все экономические направления в этом году есть бюджетные места?","Да, кроме торгового дела, https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/kolichestvo-mest-dlya-priema-na-2020-21-uchebnyiy.html"
"Спасибо","пожалуйста!"
"Здравствуйте Как я могу пройти консультацию по поступлению ?","Добрый день! Задавайте все интересующие Вас вопросы."
"Мне нужна консультация по поступлению, пожалуйста","что Вы хотели бы узнать?"
"Куда подавать документы ?","Мы находимся по адресу: ул. Московская, д36."
"Какие документы нужны для поступления  ?","- Документ об образовании (аттестат/диплом);  - Паспорт (или иной документ, удостоверяющий личность);  - Фотографии (4 шт. 3х4 см); - На матовой бумаге  - Медицинская справка (по форме 086-У) для допуска к профессиональному вступительному испытанию (общая физическая подготовка) по направлениям подготовки: «Педагогическое образование. Физическая культура», «Физическая культура», «Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)»;  - Документы, подтверждающие льготы (при наличии);  - Документы, подтверждающие индивидуальные достижения (при наличии).  - В случае смены фамилии: свидетельство о браке или свидетельство о перемене имени;  - Необходимо знать свои номера ИНН и СНИЛС"
"Какие есть факультеты ?","https://www.vyatsu.ru/uploads/file/1811/b_kolichestvo_mest.pdf - перечень направлений по формам обучения"
"Сколько бюджетных мест в учебном заведении ?","Смотря на какие направления и на какую форму."
"На факультете истории сколько бюджетных мест. Очная форма","На направлении 'История' - 30 мест., 'Педагогическое образование. История, обществознание' - 20 мест."
"На факультете философии есть набор ?","Нет, такое направление реализуется только в магистратуре"
"Сколько бюджетных мест на политологии и культурологии ?","На культурологии - 5. на политологию не набираем"
"Что такое магистратура ?","Вы поступаете после школы?"
"После 11 класса","Магистратура- вторая ступень высшего образования. Поступление возможно только после бакалавриата"
"Поступление на магистратуру платно ?","Вам пока не подходит. После школы Вы сначала поступаете на бакалавриат/специалитет, потом только после окончания уже можете идти в магистратуру"
"Понятно, А если некоторые документы при поступлении будут отсутствовать, например фотографии, это не страшно ?","фотографии - не страшно."
"Нужны ли оригиналы документов при поступлении ?","Да, нужны."
"Как можно увидеть список зачисленных ?","на оф. сайте ВятГУ https://www.vyatsu.ru/abiturientu.html"
"Сколько баллов, в общем, нужно на поступление на бюджет ?","по направлению история?"
"Да","данные по проходному баллу есть только по прошлому году - 202 балла"
"Какие направления, связанные с литературой ?","Что Вы имеете ввиду?"
"Я вот сдавал экзамен по литературе и есть направления, где числится этот экзамен ?","Еще какие ЕГЭ сдавали?"
"Я сдавал-историю,литературу и обществознание, И два обязательных","Журналистика, Филология, Педагогическое образование.Русский язык, литература - необходим ЕГЭ по литературе"
"Приёмная комиссия со скольки работает ?","по будням с 9-00 до 16-00, в сб - с 9-00 до 13-00"
"Спасибо, Здравствуйте  Как можно поступить на факультет после окончания колледжа?  Для этого создаются спец.условия ?","Добрый день. После окончания колледжа можно поступать в вуз по письменному тестированию. На многих направлениях подготовки по заочной форме есть ускоренное обучение для тех, кто окончил колледж."
